import time: self [us] | cumulative | imported package
import time:        88 |         88 |   _io
import time:        19 |         19 |   marshal
import time:       104 |        104 |   posix
import time:       287 |        497 | _frozen_importlib_external
import time:       360 |        360 |   time
import time:       105 |        464 | zipimport
import time:        24 |         24 |     _codecs
import time:       245 |        268 |   codecs
import time:       184 |        184 |   encodings.aliases
import time:       296 |        748 | encodings
import time:        78 |         78 | encodings.utf_8
import time:        29 |         29 | _signal
import time:        13 |         13 |     _abc
import time:        65 |         78 |   abc
import time:        64 |        141 | io
import time:        20 |         20 |       _stat
import time:        34 |         53 |     stat
import time:       331 |        331 |     _collections_abc
import time:        26 |         26 |       errno
import time:        25 |         25 |       genericpath
import time:        55 |        106 |     posixpath
import time:       198 |        686 |   os
import time:        34 |         34 |   _sitebuiltins
import time:        83 |         83 |   encodings.utf_8_sig
import time:       294 |        294 |   _virtualenv
import time:        51 |         51 |   sitecustomize
import time:       780 |       1925 | site
import time:        56 |         56 |           itertools
import time:        60 |         60 |           keyword
import time:       132 |        132 |             _operator
import time:       127 |        258 |           operator
import time:        80 |         80 |           reprlib
import time:        26 |         26 |           _collections
import time:       334 |        811 |         collections
import time:        20 |         20 |         _functools
import time:       233 |       1064 |       functools
import time:       115 |        115 |       types
import time:       530 |       1708 |     enum
import time:        26 |         26 |       _sre
import time:        96 |         96 |         re._constants
import time:       137 |        233 |       re._parser
import time:        47 |         47 |       re._casefix
import time:       151 |        456 |     re._compiler
import time:        67 |         67 |     copyreg
import time:       218 |       2448 |   re
import time:       405 |        405 |   gettext
import time:       487 |       3339 | argparse
import time:        73 |         73 |     linecache
import time:       328 |        328 |     textwrap
import time:       120 |        120 |     warnings
import time:       209 |        209 |     contextlib
import time:        53 |         53 |       __future__
import time:        82 |        134 |     _colorize
import time:       286 |       1148 |   traceback
import time:       199 |        199 |     _weakrefset
import time:       172 |        371 |   weakref
import time:        12 |         12 |     _string
import time:       196 |        207 |   string
import time:       219 |        219 |   threading
import time:        14 |         14 |   atexit
import time:       646 |       2604 | logging
import time:        51 |         51 |           concurrent
import time:       200 |        200 |           concurrent.futures._base
import time:        82 |        332 |         concurrent.futures
import time:        18 |         18 |           _heapq
import time:        70 |         88 |         heapq
import time:       147 |        147 |           _socket
import time:        23 |         23 |             math
import time:        27 |         27 |             select
import time:       191 |        240 |           selectors
import time:        31 |         31 |           array
import time:       379 |        795 |         socket
import time:        23 |         23 |             _locale
import time:       290 |        312 |           locale
import time:       198 |        198 |           signal
import time:        16 |         16 |           fcntl
import time:        27 |         27 |           msvcrt
import time:        13 |         13 |           _posixsubprocess
import time:       251 |        814 |         subprocess
import time:       363 |        363 |           _ssl
import time:        24 |         24 |               _struct
import time:        57 |         80 |             struct
import time:        26 |         26 |             binascii
import time:       118 |        224 |           base64
import time:      1121 |       1707 |         ssl
import time:       112 |        112 |         asyncio.constants
import time:       551 |        551 |               _ast
import time:       468 |       1019 |             ast
import time:        15 |         15 |                 _opcode
import time:       183 |        183 |                 _opcode_metadata
import time:       123 |        321 |               opcode
import time:       373 |        694 |             dis
import time:        83 |         83 |               importlib
import time:        31 |        114 |             importlib.machinery
import time:        77 |         77 |               token
import time:        13 |         13 |               _tokenize
import time:       334 |        423 |             tokenize
import time:       764 |       3011 |           inspect
import time:        68 |       3079 |         asyncio.coroutines
import time:        16 |         16 |             _contextvars
import time:        59 |         74 |           contextvars
import time:        61 |         61 |           asyncio.format_helpers
import time:        54 |         54 |             asyncio.base_futures
import time:        76 |         76 |             asyncio.exceptions
import time:        50 |         50 |             asyncio.base_tasks
import time:        51 |        229 |           _asyncio
import time:       309 |        673 |         asyncio.events
import time:        90 |         90 |         asyncio.futures
import time:        70 |         70 |         asyncio.protocols
import time:        94 |         94 |           asyncio.transports
import time:        45 |         45 |           asyncio.log
import time:       220 |        358 |         asyncio.sslproto
import time:        48 |         48 |             asyncio.mixins
import time:       172 |        220 |           asyncio.locks
import time:        93 |         93 |             asyncio.queues
import time:        12 |         12 |                 _typing
import time:       861 |        872 |               typing
import time:       144 |       1015 |             asyncio.timeouts
