import time: self [us] | cumulative | imported package
import time:        86 |         86 |   _io
import time:        18 |         18 |   marshal
import time:       105 |        105 |   posix
import time:       440 |        647 | _frozen_importlib_external
import time:       355 |        355 |   time
import time:       107 |        462 | zipimport
import time:        24 |         24 |     _codecs
import time:       262 |        286 |   codecs
import time:       365 |        365 |   encodings.aliases
import time:       459 |       1109 | encodings
import time:       199 |        199 | encodings.utf_8
import time:        35 |         35 | _signal
import time:        15 |         15 |     _abc
import time:        73 |         88 |   abc
import time:        77 |        164 | io
import time:        23 |         23 |       _stat
import time:        40 |         63 |     stat
import time:       371 |        371 |     _collections_abc
import time:        28 |         28 |       errno
import time:        30 |         30 |       genericpath
import time:        62 |        120 |     posixpath
import time:       225 |        778 |   os
import time:        74 |         74 |   _sitebuiltins
import time:       263 |        263 |   encodings.utf_8_sig
import time:       516 |        516 |   _virtualenv
import time:        64 |         64 |   sitecustomize
import time:      1406 |       3098 | site
import time:        58 |         58 |           itertools
import time:       227 |        227 |           keyword
import time:       137 |        137 |             _operator
import time:       265 |        402 |           operator
import time:       250 |        250 |           reprlib
import time:        29 |         29 |           _collections
import time:       542 |       1505 |         collections
import time:        21 |         21 |         _functools
import time:       363 |       1888 |       functools
import time:       268 |        268 |       types
import time:       722 |       2877 |     enum
import time:        30 |         30 |       _sre
import time:       265 |        265 |         re._constants
import time:       343 |        607 |       re._parser
import time:       177 |        177 |       re._casefix
import time:       439 |       1252 |     re._compiler
import time:       201 |        201 |     copyreg
import time:       526 |       4854 |   re
import time:       680 |        680 |   gettext
import time:       614 |       6147 | argparse
import time:       189 |        189 |     linecache
import time:       498 |        498 |     textwrap
import time:       350 |        350 |     warnings
import time:       520 |        520 |     contextlib
import time:       184 |        184 |       __future__
import time:       251 |        434 |     _colorize
import time:       497 |       2486 |   traceback
import time:       341 |        341 |     _weakrefset
import time:       425 |        765 |   weakref
import time:        16 |         16 |     _string
import time:       463 |        478 |   string
import time:       468 |        468 |   threading
import time:        15 |         15 |   atexit
import time:       990 |       5200 | logging
import time:       265 |        265 |           concurrent
import time:       865 |        865 |           concurrent.futures._base
import time:       275 |       1405 |         concurrent.futures
import time:        24 |         24 |           _heapq
import time:       264 |        287 |         heapq
import time:       191 |        191 |           _socket
import time:        29 |         29 |             math
import time:        31 |         31 |             select
import time:       422 |        481 |           selectors
import time:        41 |         41 |           array
import time:       600 |       1312 |         socket
import time:        30 |         30 |             _locale
import time:       485 |        514 |           locale
import time:       357 |        357 |           signal
import time:        17 |         17 |           fcntl
import time:        45 |         45 |           msvcrt
import time:        24 |         24 |           _posixsubprocess
import time:       490 |       1445 |         subprocess
import time:       342 |        342 |           _ssl
import time:        27 |         27 |               _struct
import time:       168 |        195 |             struct
import time:        26 |         26 |             binascii
import time:       309 |        529 |           base64
import time:      1620 |       2490 |         ssl
import time:       196 |        196 |         asyncio.constants
import time:       547 |        547 |               _ast
import time:       708 |       1255 |             ast
import time:        15 |         15 |                 _opcode
import time:       301 |        301 |                 _opcode_metadata
import time:       251 |        567 |               opcode
import time:       536 |       1102 |             dis
import time:       224 |        224 |               importlib
import time:        32 |        256 |             importlib.machinery
import time:       184 |        184 |               token
import time:        13 |         13 |               _tokenize
import time:       429 |        626 |             tokenize
import time:      1445 |       4682 |           inspect
import time:       178 |       4860 |         asyncio.coroutines
import time:        24 |         24 |             _contextvars
import time:       247 |        271 |           contextvars
import time:       171 |        171 |           asyncio.format_helpers
import time:        91 |         91 |             asyncio.base_futures
import time:       244 |        244 |             asyncio.exceptions
import time:       164 |        164 |             asyncio.base_tasks
import time:        63 |        561 |           _asyncio
import time:       533 |       1534 |         asyncio.events
import time:       290 |        290 |         asyncio.futures
import time:       236 |        236 |         asyncio.protocols
import time:       213 |        213 |           asyncio.transports
import time:        71 |         71 |           asyncio.log
import time:       463 |        746 |         asyncio.sslproto
import time:        86 |         86 |             asyncio.mixins
import time:       379 |        464 |           asyncio.locks
import time:       227 |        227 |             asyncio.queues
import time:        17 |         17 |                 _typing
import time:      1186 |       1203 |               typing
import time:       286 |       1489 |             asyncio.timeouts
